Provincia;Parcela;Huso;Coor X (ED50) 2018;Coor Y (ED50) 2018;Fecha levantamiento;;;
Córdoba;141372;30;343953;4199988;08/06/2018;;;
Córdoba;141353;30;345969;4203987;13/06/2018;;;
Córdoba;140897;30;333994;4214038;15/06/2018;;;
Córdoba;141364;30;347949;4201933;19/06/2018;;;
Córdoba;140933;30;319995;4209987;21/06/2018;;;
Sevilla;410162;29;754982;4204950;26/06/2018;;;
Sevilla;410273;30;265996;4209011;28/06/2018;;;
Sevilla;410283;30;274984;4208008;02/07/2018;;;
Sevilla;410296;30;255977;4206013;04/06/2018;;;
Sevilla;410143;29;761944;4207990;06/07/2018;;;
Cádiz;110094;30;272971;4073965;11/07/2018;;;
Cádiz;110160;30;277014;4075980;12/07/2018;;;
Cádiz;110158;30;279011;4076959;16/07/2018;;;
Cádiz;110397;30;252978;4052053;17/07/2018;;;
Cádiz;110085;30;307991;4080036;17/07/2018;;;
Toledo;450265;30;329144;4442047;17/09/2018;;;
Toledo;450203;30;310942;4440006;18/09/2018;;;
Toledo;451383;30;428989;4369987;10/09/2018;;;
Toledo;450101;30;366109;4449004;11/09/2018;;;
Toledo;450176;30;377953;4447998;10/09/2018;;;
Zamora;490813;29;735993;4608013;24/09/2018;;;
Zamora;490299;29;737944;4656038;25/09/2018;;;
Zamora;490300;29;741988;4656056;25/09/2018;;;
Zamora;490125;29;729966;4669017;26/09/2018;;;
Zamora;490525;29;738961;4650998;26/09/2018;;;
Ourense;320580;29;673972;4696986;08/10/2018;;;
Ourense;320602;29;652977;4692988;09/10/2018;;;
Ourense;320575;29;663997;4697012;09/10/2018;;;
Lugo;272894;29;646990;4689065;10/10/2018;;;
Lugo;272850;29;641023;4700669;10/10/2018;;;.
